"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_298",0.618468380507131,-0.480509211322814,298
"TT_299",0.43915374033233,-0.822905721446287,299
"TT_300",0.187911407448453,-1.67178466419554,300
"TT_301",0.138686130171046,-1.97554195542835,301
"TT_302",1.12050709581473,0.113781346960552,302
"TT_303",0.331501943448009,-1.10412160678514,303
"TT_304",0.196462608927137,-1.62728315113746,304
"TT_305",0.185197652192472,-1.68633163399689,305
"TT_306",0.206847042116963,-1.57577568582906,306
"TT_307",0.209259064799391,-1.56418225012366,307
"TT_308",0.355525937210785,-1.03415707259498,308
"TT_309",0.155747650708027,-1.85951820516492,309
"TT_310",0.103454761035249,-2.26862085327589,310
"TT_311",0.091624078717337,-2.39006117375262,311
"TT_312",0.0886175837751287,-2.42342497858894,312
"TT_313",0.0861585571209571,-2.45156599278123,313
"TT_314",0.0841098742092561,-2.47563130855931,314
"TT_315",0.241584729407331,-1.42053502101455,315
"TT_316",0.142456993608673,-1.94871512406137,316
"TT_317",0.100806527861706,-2.29455216490894,317
"TT_318",0.0896471738162188,-2.41187360406573,318
"TT_319",0.0842034133128071,-2.47451982039865,319
"TT_320",0.0808870515242771,-2.51470152305205,320
"TT_321",0.0786070554733593,-2.54329381928345,321
"TT_322",0.0769157896287422,-2.56504409677552,322
"TT_323",0.294625406489472,-1.22205053804254,323
"TT_324",0.10868639303678,-2.21928867174498,324
"TT_325",0.0857131236795181,-2.45674932998549,325
"TT_326",0.0773451232264766,-2.55947775208931,326
"TT_327",0.0729963281082558,-2.61734613898573,327
"TT_328",0.071950783598387,-2.63177295483403,328
"TT_329",0.0715611927439327,-2.63720235273412,329
"TT_330",0.0711988540763807,-2.64227855512658,330
"TT_331",0.0708609414840613,-2.64703589309538,331
"TT_332",0.294515167032088,-1.22242477625877,332
"TT_333",0.564369296877259,-0.572046460062815,333
"TT_334",0.289836221057725,-1.23843927050914,334
"TT_335",0.500612280219806,-0.691923369282935,335
"TT_336",0.381838250847906,-0.962758187145853,336
"TT_337",0.166323557658034,-1.79382024522083,337
"TT_338",0.283722999941672,-1.25975686910457,338
"TT_339",0.118692230461626,-2.13122143476048,339
"TT_340",0.100503571566194,-2.29756201414239,340
"TT_341",0.0920095242026786,-2.38586318334917,341
"TT_342",0.394947144925351,-0.92900333334998,342
"TT_343",0.131604188429809,-2.02795643362315,343
"TT_344",0.427839574225611,-0.849006980241055,344
"TT_345",0.159719662439205,-1.83433511024286,345
"TT_346",0.113133280832908,-2.1791886789082,346
"TT_347",0.420243012118396,-0.866922134747432,347
"TT_348",0.128817747152747,-2.04935668635084,348
"TT_349",0.102000293703707,-2.2827795862539,349
"TT_350",0.091284491241086,-2.39377437173464,350
"TT_351",0.0854673962990232,-2.45962030560012,351
"TT_352",0.0817957178206884,-2.50353038612405,352
"TT_353",0.0792555339013993,-2.53507804025381,353
"TT_354",0.0773853729583296,-2.55895749611194,354
"TT_355",0.0759449814724019,-2.57774612885292,355
"TT_356",0.074796947454942,-2.59297820426034,356
"TT_357",0.0738569924985265,-2.60562458933441,357
"TT_358",0.0730705511731021,-2.61632985012409,358
"TT_359",0.0724007328764303,-2.62553885703907,359
"TT_360",0.0718216964843928,-2.63356866912661,360
